z,sigma_0_2,sigma_1_0,sigma_2_0
-0.44999999999999973,-1.5081879124341004,0.10124999999999988,0.7943971805599451
-0.43999999999999995,-1.5126379124341003,0.09679999999999998,0.7899471805599453
-0.43000000000000016,-1.5169879124341001,0.09245000000000007,0.7855971805599453
-0.41999999999999993,-1.5212379124341002,0.08819999999999997,0.7813471805599452
-0.41000000000000014,-1.5253879124341003,0.08405000000000006,0.7771971805599454
-0.3999999999999999,-1.5294379124341004,0.07999999999999996,0.7731471805599452
-0.3900000000000001,-1.5333879124341003,0.07605000000000005,0.7691971805599453
-0.3799999999999999,-1.5372379124341002,0.07219999999999996,0.7653471805599452
-0.3700000000000001,-1.5409879124341002,0.06845000000000004,0.7615971805599453
-0.3599999999999999,-1.5446379124341003,0.06479999999999995,0.7579471805599453
-0.3500000000000001,-1.5481879124341003,0.061250000000000034,0.7543971805599453
-0.33999999999999986,-1.5516379124341004,0.05779999999999995,0.7509471805599452
-0.33000000000000007,-1.5549879124341002,0.054450000000000026,0.7475971805599453
-0.31999999999999984,-1.5582379124341004,0.05119999999999995,0.7443471805599452
-0.31000000000000005,-1.5613879124341004,0.048050000000000016,0.7411971805599453
-0.2999999999999998,-1.5644379124341004,0.04499999999999995,0.7381471805599452
-0.29000000000000004,-1.5673879124341004,0.04205000000000001,0.7351971805599453
-0.2799999999999998,-1.5702379124341004,0.03919999999999994,0.7323471805599452
-0.27,-1.5729879124341002,0.03645,0.7295971805599453
-0.2599999999999998,-1.5756379124341002,0.03379999999999994,0.7269471805599452
-0.25,-1.5781879124341003,0.03125,0.7243971805599453
-0.23999999999999977,-1.5806379124341003,0.028799999999999944,0.7219471805599452
-0.22999999999999998,-1.5829879124341002,0.026449999999999994,0.7195971805599453
-0.21999999999999975,-1.5852379124341003,0.024199999999999944,0.7173471805599452
-0.20999999999999996,-1.5873879124341004,0.022049999999999993,0.7151971805599453
-0.19999999999999973,-1.5894379124341003,0.01999999999999995,0.7131471805599452
-0.18999999999999995,-1.5913879124341004,0.01804999999999999,0.7111971805599453
-0.18000000000000016,-1.5932379124341003,0.01620000000000003,0.7093471805599453
-0.16999999999999993,-1.5949879124341002,0.014449999999999987,0.7075971805599452
-0.16000000000000014,-1.5966379124341004,0.012800000000000023,0.7059471805599453
-0.1499999999999999,-1.5981879124341003,0.011249999999999987,0.7043971805599453
-0.14000000000000012,-1.5996379124341003,0.009800000000000017,0.7029471805599453
-0.1299999999999999,-1.6009879124341002,0.008449999999999985,0.7015971805599452
-0.1200000000000001,-1.6022379124341002,0.007200000000000013,0.7003471805599453
-0.10999999999999988,-1.6033879124341004,0.006049999999999986,0.6991971805599453
-0.10000000000000009,-1.6044379124341002,0.005000000000000009,0.6981471805599453
-0.08999999999999986,-1.6053879124341004,0.004049999999999988,0.6971971805599453
-0.08000000000000007,-1.6062379124341002,0.003200000000000006,0.6963471805599453
-0.06999999999999984,-1.6069879124341002,0.0024499999999999886,0.6955971805599452
-0.06000000000000005,-1.6076379124341003,0.0018000000000000032,0.6949471805599453
-0.04999999999999982,-1.6081879124341003,0.0012499999999999911,0.6943971805599453
-0.040000000000000036,-1.6086379124341004,0.0008000000000000014,0.6939471805599453
-0.029999999999999805,-1.6089879124341002,0.00044999999999999413,0.6935971805599452
-0.020000000000000018,-1.6092379124341003,0.00020000000000000036,0.6933471805599453
-0.009999999999999787,-1.6093879124341002,4.999999999999787e-05,0.6931971805599453
0.0,-1.6094379124341003,0.0,0.6931471805599453
0.010000000000000231,-1.6093879124341002,5.0000000000002306e-05,0.6931971805599453
0.020000000000000018,-1.6092379124341003,0.00020000000000000036,0.6933471805599453
0.03000000000000025,-1.6089879124341002,0.00045000000000000747,0.6935971805599453
0.040000000000000036,-1.6086379124341004,0.0008000000000000014,0.6939471805599453
0.050000000000000266,-1.6081879124341003,0.0012500000000000133,0.6943971805599453
0.06000000000000005,-1.6076379124341003,0.0018000000000000032,0.6949471805599453
0.07000000000000028,-1.6069879124341002,0.00245000000000002,0.6955971805599453
0.08000000000000007,-1.6062379124341002,0.003200000000000006,0.6963471805599453
0.08999999999999986,-1.6053879124341004,0.004049999999999988,0.6971971805599453
