pair,flight_count
KSDM->KGRK,1
KSDM->KNZY,1
KRKD->KWRI,1
KRME->KGTB,1
KRME->KLEX,1
KRND->KBAZ,1
KRND->KCLL,1
KRND->KSKF,1
KSAT->KSUU,1
KSAV->DAAG,1
KSAV->FAKN,1
KSAV->KALM,1
KSAV->KILM,1
EGOV->EGTE,1
EGOV->KMTN,1
EGPF->KNKT,1
EGPK->EGMC,1
EGPK->YAMB,1
EGQL->EGPF,1
EGQS->EGXC,1
EGSC->ENGM,1
EGSC->LFBO,1
EGSS->LTAE,1
EGHI->EGHH,1
KSLC->KHIF,1
